,participant,concept,exemplar,rank_order,normed_rank_order
914,gpt3.5_iter38,ciliegio,ciliegio dolce,2,0.975609756097561
915,gpt3.5_iter38,ciliegio,ciliegio acido,3,0.9512195121951219
916,gpt3.5_iter38,ciliegio,ciliegio amarena,4,0.926829268292683
917,gpt3.5_iter38,ciliegio,ciliegio napoleon,5,0.9024390243902439
918,gpt3.5_iter38,ciliegio,ciliegio morello,6,0.8780487804878049
919,gpt3.5_iter38,ciliegio,ciliegio bigarreau,7,0.8536585365853658
920,gpt3.5_iter38,ciliegio,ciliegio burlat,8,0.8292682926829268
921,gpt3.5_iter38,ciliegio,ciliegio regina,9,0.8048780487804879
922,gpt3.5_iter38,ciliegio,ciliegio lapins,10,0.7804878048780488
923,gpt3.5_iter38,ciliegio,ciliegio black pearl,11,0.7560975609756098
924,gpt3.5_iter38,ciliegio,ciliegio stella,12,0.7317073170731707
925,gpt3.5_iter38,ciliegio,ciliegio van,13,0.7073170731707317
926,gpt3.5_iter38,ciliegio,ciliegio sunburst,14,0.6829268292682926
927,gpt3.5_iter38,ciliegio,ciliegio summit,15,0.6585365853658536
928,gpt3.5_iter38,ciliegio,ciliegio sweetheart,16,0.6341463414634146
929,gpt3.5_iter38,ciliegio,ciliegio rainier,17,0.6097560975609756
930,gpt3.5_iter38,ciliegio,ciliegio bing,18,0.5853658536585367
931,gpt3.5_iter38,ciliegio,ciliegio montmorency,19,0.5609756097560976
932,gpt3.5_iter38,ciliegio,ciliegio tartarian,20,0.5365853658536586
933,gpt3.5_iter38,ciliegio,ciliegio hedelfingen,21,0.5121951219512195
934,gpt3.5_iter38,ciliegio,ciliegio kordia,22,0.4878048780487805
954,gpt3.5_iter39,cioccolato,cioccolato fondente,1,1.0
955,gpt3.5_iter39,cioccolato,cioccolato al latte,2,0.9411764705882353
956,gpt3.5_iter39,cioccolato,cioccolato bianco,3,0.8823529411764706
957,gpt3.5_iter39,cioccolato,cioccolato extra fondente,4,0.8235294117647058
958,gpt3.5_iter39,cioccolato,cioccolato al caramello,5,0.7647058823529411
959,gpt3.5_iter39,cioccolato,cioccolato alle nocciole,6,0.7058823529411764
960,gpt3.5_iter39,cioccolato,cioccolato alle mandorle,7,0.6470588235294117
961,gpt3.5_iter39,cioccolato,cioccolato al peperoncino,8,0.5882352941176471
962,gpt3.5_iter39,cioccolato,cioccolato al cocco,9,0.5294117647058824
963,gpt3.5_iter39,cioccolato,cioccolato alla menta,10,0.47058823529411764
964,gpt3.5_iter39,cioccolato,cioccolato al caffè,11,0.4117647058823529
965,gpt3.5_iter39,cioccolato,cioccolato alla vaniglia,12,0.3529411764705882
966,gpt3.5_iter39,cioccolato,cioccolato alla fragola,13,0.2941176470588235
967,gpt3.5_iter39,cioccolato,cioccolato al pistacchio,14,0.23529411764705888
968,gpt3.5_iter39,cioccolato,cioccolato al liquore,15,0.17647058823529416
969,gpt3.5_iter39,cioccolato,cioccolato al biscotto,16,0.11764705882352944
970,gpt3.5_iter39,cioccolato,cioccolato al sale marino,17,0.05882352941176472
971,gpt3.5_iter40,colla,colla vinilica,1,1.0
972,gpt3.5_iter40,colla,colla a caldo,2,0.9090909090909091
973,gpt3.5_iter40,colla,colla stick,3,0.8181818181818181
974,gpt3.5_iter40,colla,colla spray,4,0.7272727272727273
975,gpt3.5_iter40,colla,colla liquida,5,0.6363636363636364
976,gpt3.5_iter40,colla,colla per tessuti,6,0.5454545454545454
977,gpt3.5_iter40,colla,colla per legno,7,0.4545454545454546
978,gpt3.5_iter40,colla,colla per ceramica,8,0.36363636363636365
979,gpt3.5_iter40,colla,colla per plastica,9,0.2727272727272727
980,gpt3.5_iter40,colla,colla per vetro,10,0.18181818181818177
981,gpt3.5_iter40,colla,colla per metallo,11,0.09090909090909094
982,gpt3.5_iter41,collo,camicia,1,1.0
983,gpt3.5_iter41,collo,maglietta,2,0.9
984,gpt3.5_iter41,collo,giacca,3,0.8
985,gpt3.5_iter41,collo,cappotto,4,0.7
986,gpt3.5_iter41,collo,abito,5,0.6
987,gpt3.5_iter41,collo,cravatta,6,0.5
988,gpt3.5_iter41,collo,sciarpa,7,0.4
989,gpt3.5_iter41,collo,felpa,8,0.30000000000000004
990,gpt3.5_iter41,collo,polo,9,0.19999999999999996
991,gpt3.5_iter41,collo,cardigan,10,0.09999999999999998
992,gpt3.5_iter42,colonna,dorica,1,1.0
993,gpt3.5_iter42,colonna,ionica,2,0.9
994,gpt3.5_iter42,colonna,corinzia,3,0.8
995,gpt3.5_iter42,colonna,composita,4,0.7
996,gpt3.5_iter42,colonna,tuscanica,5,0.6
997,gpt3.5_iter42,colonna,gigantea,6,0.5
998,gpt3.5_iter42,colonna,salomonica,7,0.4
999,gpt3.5_iter42,colonna,egizia,8,0.30000000000000004
1000,gpt3.5_iter42,colonna,toscana,9,0.19999999999999996
1001,gpt3.5_iter42,colonna,romana,10,0.09999999999999998
1002,gpt3.5_iter43,coltello,coltello da cucina,1,1.0
1003,gpt3.5_iter43,coltello,coltello da pane,2,0.95
1004,gpt3.5_iter43,coltello,coltello da formaggio,3,0.9
1005,gpt3.5_iter43,coltello,coltello da carne,4,0.85
1006,gpt3.5_iter43,coltello,coltello da pesce,5,0.8
1007,gpt3.5_iter43,coltello,coltello da frutta,6,0.75
1008,gpt3.5_iter43,coltello,coltello da taglio,7,0.7
1009,gpt3.5_iter43,coltello,coltello da chef,8,0.65
1010,gpt3.5_iter43,coltello,coltello da trinciare,9,0.6
1011,gpt3.5_iter43,coltello,coltello da sfilettare,10,0.55
1012,gpt3.5_iter43,coltello,coltello da intaglio,11,0.5
1013,gpt3.5_iter43,coltello,coltello da bistecca,12,0.44999999999999996
1014,gpt3.5_iter43,coltello,coltello da pizza,13,0.4
1015,gpt3.5_iter43,coltello,coltello da burro,14,0.35
1016,gpt3.5_iter43,coltello,coltello da tasca,15,0.30000000000000004
1017,gpt3.5_iter43,coltello,coltello da sopravvivenza,16,0.25
1018,gpt3.5_iter43,coltello,coltello da caccia,17,0.19999999999999996
1019,gpt3.5_iter43,coltello,coltello da lancio,18,0.15000000000000002
1020,gpt3.5_iter43,coltello,coltello da tiro,19,0.09999999999999998
1021,gpt3.5_iter43,coltello,coltello da combattimento,20,0.050000000000000044
1022,gpt3.5_iter44,comodino,comodino classico,1,1.0
1023,gpt3.5_iter44,comodino,comodino moderno,2,0.8888888888888888
1024,gpt3.5_iter44,comodino,comodino con cassetti,3,0.7777777777777778
1025,gpt3.5_iter44,comodino,comodino con ripiani,4,0.6666666666666667
1026,gpt3.5_iter44,comodino,comodino con luce integrata,5,0.5555555555555556
1027,gpt3.5_iter44,comodino,comodino sospeso,6,0.4444444444444444
1028,gpt3.5_iter44,comodino,comodino con ruote,7,0.33333333333333337
1029,gpt3.5_iter44,comodino,comodino con specchio,8,0.2222222222222222
1030,gpt3.5_iter44,comodino,comodino con portaoggetti,9,0.11111111111111116
1031,gpt3.5_iter45,computer,desktop,1,1.0
1032,gpt3.5_iter45,computer,laptop,2,0.9473684210526316
1033,gpt3.5_iter45,computer,tablet,3,0.8947368421052632
1034,gpt3.5_iter45,computer,smartphone,4,0.8421052631578947
1035,gpt3.5_iter45,computer,server,5,0.7894736842105263
1036,gpt3.5_iter45,computer,workstation,6,0.736842105263158
1037,gpt3.5_iter45,computer,netbook,7,0.6842105263157895
1038,gpt3.5_iter45,computer,ultrabook,8,0.631578947368421
1039,gpt3.5_iter45,computer,chromebook,9,0.5789473684210527
1040,gpt3.5_iter45,computer,macbook,10,0.5263157894736843
1041,gpt3.5_iter45,computer,imac,11,0.4736842105263158
1042,gpt3.5_iter45,computer,surface pro,12,0.42105263157894735
1043,gpt3.5_iter45,computer,surface book,13,0.368421052631579
1044,gpt3.5_iter45,computer,gaming pc,14,0.3157894736842105
1045,gpt3.5_iter45,computer,all-in-one pc,15,0.26315789473684215
1046,gpt3.5_iter45,computer,mini pc,16,0.21052631578947367
1047,gpt3.5_iter45,computer,raspberry pi,17,0.1578947368421053
1048,gpt3.5_iter45,computer,smart display,18,0.10526315789473684
1049,gpt3.5_iter45,computer,smart tv,19,0.052631578947368474
1050,gpt3.5_iter46,comò,comò classico,1,1.0
1051,gpt3.5_iter46,comò,comò moderno,2,0.9583333333333334
1052,gpt3.5_iter46,comò,comò antico,3,0.9166666666666666
1053,gpt3.5_iter46,comò,comò in stile provenzale,4,0.875
1054,gpt3.5_iter46,comò,comò in stile shabby chic,5,0.8333333333333334
1055,gpt3.5_iter46,comò,comò in stile industriale,6,0.7916666666666666
1056,gpt3.5_iter46,comò,comò con specchio,7,0.75
1057,gpt3.5_iter46,comò,comò senza specchio,8,0.7083333333333333
1058,gpt3.5_iter46,comò,comò con cassetti grandi,9,0.6666666666666667
1059,gpt3.5_iter46,comò,comò con cassetti piccoli,10,0.625
1060,gpt3.5_iter46,comò,comò con ripiani,11,0.5833333333333333
1061,gpt3.5_iter46,comò,comò con ante,12,0.5416666666666667
1062,gpt3.5_iter46,comò,comò con maniglie in metallo,13,0.5
1063,gpt3.5_iter46,comò,comò con maniglie in legno,14,0.45833333333333337
1064,gpt3.5_iter46,comò,comò con piedini,15,0.41666666666666663
1065,gpt3.5_iter46,comò,comò con ruote,16,0.375
1066,gpt3.5_iter46,comò,comò in legno massello,17,0.33333333333333337
1067,gpt3.5_iter46,comò,comò in laminato,18,0.29166666666666663
1068,gpt3.5_iter46,comò,comò in melaminico,19,0.25
1069,gpt3.5_iter46,comò,comò in laccato,20,0.20833333333333337
1070,gpt3.5_iter46,comò,comò con decorazioni intarsiate,21,0.16666666666666663
1071,gpt3.5_iter46,comò,comò con decorazioni intagliate,22,0.125
1072,gpt3.5_iter46,comò,comò con finitura lucida,23,0.08333333333333337
1073,gpt3.5_iter46,comò,comò con finitura opaca,24,0.04166666666666663
1074,gpt3.5_iter47,coniglio,coniglio nano,1,1.0
1075,gpt3.5_iter47,coniglio,coniglio selvatico,2,0.9714285714285714
1076,gpt3.5_iter47,coniglio,coniglio d'angora,3,0.9428571428571428
1077,gpt3.5_iter47,coniglio,coniglio gigante,4,0.9142857142857143
1078,gpt3.5_iter47,coniglio,coniglio ariete,5,0.8857142857142857
1079,gpt3.5_iter47,coniglio,coniglio testa di leone,6,0.8571428571428572
1080,gpt3.5_iter47,coniglio,coniglio belga,7,0.8285714285714285
1081,gpt3.5_iter47,coniglio,coniglio olandese,8,0.8
1082,gpt3.5_iter47,coniglio,coniglio polacco,9,0.7714285714285715
1083,gpt3.5_iter47,coniglio,coniglio californiano,10,0.7428571428571429
1084,gpt3.5_iter47,coniglio,coniglio argentato,11,0.7142857142857143
1085,gpt3.5_iter47,coniglio,coniglio fulvo,12,0.6857142857142857
1086,gpt3.5_iter47,coniglio,coniglio bianco,13,0.6571428571428571
1087,gpt3.5_iter47,coniglio,coniglio nero,14,0.6285714285714286
1088,gpt3.5_iter47,coniglio,coniglio grigio,15,0.6
1089,gpt3.5_iter47,coniglio,coniglio marrone,16,0.5714285714285714
1090,gpt3.5_iter47,coniglio,coniglio azzurro,17,0.5428571428571429
1091,gpt3.5_iter47,coniglio,coniglio albino,18,0.5142857142857142
1092,gpt3.5_iter47,coniglio,coniglio tigrato,19,0.48571428571428577
1093,gpt3.5_iter47,coniglio,coniglio a macchie,20,0.4571428571428572
1094,gpt3.5_iter47,coniglio,coniglio a mantello,21,0.4285714285714286
1095,gpt3.5_iter47,coniglio,coniglio a cioccolato,22,0.4
1096,gpt3.5_iter47,coniglio,coniglio a pelo lungo,23,0.37142857142857144
1097,gpt3.5_iter47,coniglio,coniglio a pelo corto,24,0.34285714285714286
1098,gpt3.5_iter47,coniglio,coniglio a pelo arricciato,25,0.3142857142857143
1099,gpt3.5_iter47,coniglio,coniglio a pelo liscio,26,0.2857142857142857
1100,gpt3.5_iter47,coniglio,coniglio a pelo spazzolato,27,0.2571428571428571
1101,gpt3.5_iter47,coniglio,coniglio a pelo setoso,28,0.22857142857142854
1102,gpt3.5_iter47,coniglio,coniglio a pelo vellutato,29,0.19999999999999996
1103,gpt3.5_iter47,coniglio,coniglio a pelo lanoso,30,0.17142857142857137
1104,gpt3.5_iter47,coniglio,coniglio a pelo morbido,31,0.1428571428571429
1105,gpt3.5_iter47,coniglio,coniglio a pelo ruvido,32,0.11428571428571432
1106,gpt3.5_iter47,coniglio,coniglio a pelo soffice,33,0.08571428571428574
1107,gpt3.5_iter47,coniglio,coniglio a pelo folto,34,0.05714285714285716
1108,gpt3.5_iter47,coniglio,conig,35,0.02857142857142858
1109,gpt3.5_iter48,cornice,legno,1,1.0
1110,gpt3.5_iter48,cornice,metallo,2,0.9807692307692307
1111,gpt3.5_iter48,cornice,plastica,3,0.9615384615384616
1112,gpt3.5_iter48,cornice,vetro,4,0.9423076923076923
1113,gpt3.5_iter48,cornice,argento,5,0.9230769230769231
1114,gpt3.5_iter48,cornice,dorato,6,0.9038461538461539
1115,gpt3.5_iter48,cornice,bianco,7,0.8846153846153846
1116,gpt3.5_iter48,cornice,nero,8,0.8653846153846154
1117,gpt3.5_iter48,cornice,colorato,9,0.8461538461538461
1118,gpt3.5_iter48,cornice,vintage,10,0.8269230769230769
1119,gpt3.5_iter48,cornice,moderna,11,0.8076923076923077
1120,gpt3.5_iter48,cornice,classica,12,0.7884615384615384
1121,gpt3.5_iter48,cornice,minimalista,13,0.7692307692307692
1122,gpt3.5_iter48,cornice,decorata,14,0.75
1123,gpt3.5_iter48,cornice,sottile,15,0.7307692307692308
1124,gpt3.5_iter48,cornice,spessa,16,0.7115384615384616
1125,gpt3.5_iter48,cornice,rettangolare,17,0.6923076923076923
1126,gpt3.5_iter48,cornice,quadrata,18,0.6730769230769231
1127,gpt3.5_iter48,cornice,ovale,19,0.6538461538461539
1128,gpt3.5_iter48,cornice,rotonda,20,0.6346153846153846
1129,gpt3.5_iter48,cornice,a forma di cuore,21,0.6153846153846154
1130,gpt3.5_iter48,cornice,a forma di stella,22,0.5961538461538461
1131,gpt3.5_iter48,cornice,a forma di fiore,23,0.5769230769230769
1132,gpt3.5_iter48,cornice,a forma di animale,24,0.5576923076923077
1133,gpt3.5_iter48,cornice,a forma di lettera,25,0.5384615384615384
1134,gpt3.5_iter48,cornice,a forma di numero,26,0.5192307692307692
1135,gpt3.5_iter48,cornice,con bordi intagliati,27,0.5
1136,gpt3.5_iter48,cornice,con bordi lisci,28,0.4807692307692307
1137,gpt3.5_iter48,cornice,con bordi arricciati,29,0.46153846153846156
1138,gpt3.5_iter48,cornice,con bordi dorati,30,0.4423076923076923
1139,gpt3.5_iter48,cornice,con bordi argentati,31,0.42307692307692313
1140,gpt3.5_iter48,cornice,con bordi colorati,32,0.40384615384615385
1141,gpt3.5_iter48,cornice,con fregi,33,0.3846153846153846
1142,gpt3.5_iter48,cornice,con motivi floreali,34,0.3653846153846154
1143,gpt3.5_iter48,cornice,con motivi geometrici,35,0.34615384615384615
1144,gpt3.5_iter48,cornice,con motivi astratti,36,0.32692307692307687
1145,gpt3.5_iter48,cornice,con motivi animali,37,0.3076923076923077
1146,gpt3.5_iter48,cornice,con motivi marini,38,0.28846153846153844
1147,gpt3.5_iter48,cornice,con motivi natalizi,39,0.2692307692307693
1148,gpt3.5_iter48,cornice,con motivi pasquali,40,0.25
1149,gpt3.5_iter48,cornice,con motivi romantici,41,0.23076923076923073
1150,gpt3.5_iter48,cornice,con motivi infantili,42,0.21153846153846156
1151,gpt3.5_iter48,cornice,con motivi sportivi,43,0.1923076923076923
1152,gpt3.5_iter48,cornice,con motivi musicali,44,0.17307692307692313
1153,gpt3.5_iter48,cornice,con motivi religiosi,45,0.15384615384615385
1154,gpt3.5_iter48,cornice,con motivi tribali,46,0.13461538461538458
1155,gpt3.5_iter48,cornice,con motivi orientali,47,0.11538461538461542
1156,gpt3.5_iter48,cornice,con motivi country,48,0.09615384615384615
1157,gpt3.5_iter48,cornice,con motivi vintage,49,0.07692307692307687
1158,gpt3.5_iter48,cornice,con motivi moderni,50,0.05769230769230771
1160,gpt3.5_iter48,cornice,con motivi artist,52,0.019230769230769273
1161,gpt3.5_iter49,credenza,credenza in legno,1,1.0
1162,gpt3.5_iter49,credenza,credenza in vetro,2,0.9
1163,gpt3.5_iter49,credenza,credenza moderna,3,0.8
1164,gpt3.5_iter49,credenza,credenza antica,4,0.7
1165,gpt3.5_iter49,credenza,credenza con ante,5,0.6
1166,gpt3.5_iter49,credenza,credenza con cassetti,6,0.5
1167,gpt3.5_iter49,credenza,credenza con scaffali,7,0.4
1168,gpt3.5_iter49,credenza,credenza con vetrina,8,0.30000000000000004
1169,gpt3.5_iter49,credenza,credenza rustica,9,0.19999999999999996
1170,gpt3.5_iter49,credenza,credenza vintage,10,0.09999999999999998
1171,gpt3.5_iter50,cruciverba,indovinello,1,1.0
1172,gpt3.5_iter50,cruciverba,enigma,2,0.8333333333333334
1173,gpt3.5_iter50,cruciverba,rompicapo,3,0.6666666666666667
1174,gpt3.5_iter50,cruciverba,rebus,4,0.5
1175,gpt3.5_iter50,cruciverba,puzzle,5,0.33333333333333337
1176,gpt3.5_iter50,cruciverba,sfida,6,0.16666666666666663
1177,gpt3.5_iter51,cucchiaio,cucchiaio da minestra,1,1.0
1178,gpt3.5_iter51,cucchiaio,cucchiaio da dessert,2,0.9
1179,gpt3.5_iter51,cucchiaio,cucchiaio da caffè,3,0.8
1180,gpt3.5_iter51,cucchiaio,cucchiaio da gelato,4,0.7
1181,gpt3.5_iter51,cucchiaio,cucchiaio da moka,5,0.6
1182,gpt3.5_iter51,cucchiaio,cucchiaio da cocktail,6,0.5
1183,gpt3.5_iter51,cucchiaio,cucchiaio da zuppa,7,0.4
1184,gpt3.5_iter51,cucchiaio,cucchiaio da risotto,8,0.30000000000000004
1185,gpt3.5_iter51,cucchiaio,cucchiaio da miele,9,0.19999999999999996
1186,gpt3.5_iter51,cucchiaio,cucchiaio da budino,10,0.09999999999999998
1187,gpt3.5_iter52,cucina,fornello,1,1.0
1188,gpt3.5_iter52,cucina,piano cottura,2,0.9565217391304348
1189,gpt3.5_iter52,cucina,forno,3,0.9130434782608696
1190,gpt3.5_iter52,cucina,cappa,4,0.8695652173913043
1191,gpt3.5_iter52,cucina,frigorifero,5,0.8260869565217391
1192,gpt3.5_iter52,cucina,congelatore,6,0.782608695652174
1193,gpt3.5_iter52,cucina,lavello,7,0.7391304347826086
1194,gpt3.5_iter52,cucina,lavastoviglie,8,0.6956521739130435
1195,gpt3.5_iter52,cucina,microonde,9,0.6521739130434783
1196,gpt3.5_iter52,cucina,tostapane,10,0.6086956521739131
1197,gpt3.5_iter52,cucina,frullatore,11,0.5652173913043479
1198,gpt3.5_iter52,cucina,bollitore,12,0.5217391304347826
1199,gpt3.5_iter52,cucina,macchina per il caffè,13,0.4782608695652174
1200,gpt3.5_iter52,cucina,robot da cucina,14,0.4347826086956522
1201,gpt3.5_iter52,cucina,bilancia da cucina,15,0.3913043478260869
1202,gpt3.5_iter52,cucina,pentola a pressione,16,0.34782608695652173
1203,gpt3.5_iter52,cucina,pentola elettrica,17,0.30434782608695654
1204,gpt3.5_iter52,cucina,griglia elettrica,18,0.26086956521739135
1205,gpt3.5_iter52,cucina,friggitrice elettrica,19,0.21739130434782605
1206,gpt3.5_iter52,cucina,macchina per il pane,20,0.17391304347826086
1207,gpt3.5_iter52,cucina,macchina per il gelato,21,0.13043478260869568
1208,gpt3.5_iter52,cucina,macchina per la pasta,22,0.08695652173913049
1209,gpt3.5_iter52,cucina,sottovuoto per alimenti,23,0.04347826086956519
1210,gpt3.5_iter53,cuore,atrio,1,1.0
1211,gpt3.5_iter53,cuore,ventricolo,2,0.9791666666666666
1212,gpt3.5_iter53,cuore,valvola,3,0.9583333333333334
1213,gpt3.5_iter53,cuore,arteria,4,0.9375
1214,gpt3.5_iter53,cuore,vena,5,0.9166666666666666
1215,gpt3.5_iter53,cuore,coronaria,6,0.8958333333333334
1216,gpt3.5_iter53,cuore,aorta,7,0.875
1217,gpt3.5_iter53,cuore,mitrale,8,0.8541666666666666
1218,gpt3.5_iter53,cuore,tricuspide,9,0.8333333333333334
1219,gpt3.5_iter53,cuore,polmonare,10,0.8125
1220,gpt3.5_iter53,cuore,sistemico,11,0.7916666666666666
1221,gpt3.5_iter53,cuore,cardiaco,12,0.7708333333333334
1222,gpt3.5_iter53,cuore,cardiomiocita,13,0.75
1223,gpt3.5_iter53,cuore,pericardio,14,0.7291666666666667
1224,gpt3.5_iter53,cuore,endocardio,15,0.7083333333333333
1225,gpt3.5_iter53,cuore,miocardio,16,0.6875
1226,gpt3.5_iter53,cuore,elettrocardiogramma,17,0.6666666666666667
1227,gpt3.5_iter53,cuore,infarto,18,0.6458333333333333
1228,gpt3.5_iter53,cuore,fibrillazione,19,0.625
1229,gpt3.5_iter53,cuore,insufficienza,20,0.6041666666666667
1230,gpt3.5_iter53,cuore,stenosi,21,0.5833333333333333
1231,gpt3.5_iter53,cuore,aritmia,22,0.5625
1232,gpt3.5_iter53,cuore,ipertensione,23,0.5416666666666667
1233,gpt3.5_iter53,cuore,colesterolo,24,0.5208333333333333
1234,gpt3.5_iter53,cuore,pressione sanguigna,25,0.5
1235,gpt3.5_iter53,cuore,battito,26,0.47916666666666663
1236,gpt3.5_iter53,cuore,pulsazione,27,0.45833333333333337
1237,gpt3.5_iter53,cuore,circolazione,28,0.4375
1238,gpt3.5_iter53,cuore,ossigeno,29,0.41666666666666663
1239,gpt3.5_iter53,cuore,sangue,30,0.39583333333333337
1240,gpt3.5_iter53,cuore,plasma,31,0.375
1241,gpt3.5_iter53,cuore,emoglobina,32,0.35416666666666663
1242,gpt3.5_iter53,cuore,trombo,33,0.33333333333333337
1243,gpt3.5_iter53,cuore,embolia,34,0.3125
1244,gpt3.5_iter53,cuore,aterosclerosi,35,0.29166666666666663
1245,gpt3.5_iter53,cuore,infiammazione,36,0.27083333333333337
1249,gpt3.5_iter53,cuore,trapianto,40,0.1875
1250,gpt3.5_iter53,cuore,bypass,41,0.16666666666666663
1251,gpt3.5_iter53,cuore,angioplastica,42,0.14583333333333337
1252,gpt3.5_iter53,cuore,catetere,43,0.125
1253,gpt3.5_iter53,cuore,pacemaker,44,0.10416666666666663
1254,gpt3.5_iter53,cuore,defibrillatore,45,0.08333333333333337
1255,gpt3.5_iter53,cuore,cardiochirurgia,46,0.0625
1256,gpt3.5_iter53,cuore,cardiologia,47,0.04166666666666663
1257,gpt3.5_iter53,cuore,cardiologo,48,0.02083333333333337
1258,gpt3.5_iter54,cuscino,cuscino per dormire,1,1.0
1259,gpt3.5_iter54,cuscino,cuscino decorativo,2,0.9
1260,gpt3.5_iter54,cuscino,cuscino da viaggio,3,0.8
1261,gpt3.5_iter54,cuscino,cuscino ortopedico,4,0.7
1262,gpt3.5_iter54,cuscino,cuscino per gravidanza,5,0.6
1263,gpt3.5_iter54,cuscino,cuscino per allattamento,6,0.5
1264,gpt3.5_iter54,cuscino,cuscino antiallergico,7,0.4
1265,gpt3.5_iter54,cuscino,cuscino memory foam,8,0.30000000000000004
1266,gpt3.5_iter54,cuscino,cuscino gonfiabile,9,0.19999999999999996
1267,gpt3.5_iter54,cuscino,cuscino per sedie,10,0.09999999999999998
1268,gpt3.5_iter55,delfino,delfino comune,1,1.0
1269,gpt3.5_iter55,delfino,delfino tursiope,2,0.9714285714285714
1270,gpt3.5_iter55,delfino,delfino di hector,3,0.9428571428571428
1271,gpt3.5_iter55,delfino,delfino di risso,4,0.9142857142857143
1272,gpt3.5_iter55,delfino,delfino di fraser,5,0.8857142857142857
1273,gpt3.5_iter55,delfino,delfino di commerson,6,0.8571428571428572
1274,gpt3.5_iter55,delfino,delfino di peale,7,0.8285714285714285
1275,gpt3.5_iter55,delfino,delfino di flippers,8,0.8
1276,gpt3.5_iter55,delfino,delfino di irrawaddy,9,0.7714285714285715
1277,gpt3.5_iter55,delfino,delfino di indopacifico,10,0.7428571428571429
1278,gpt3.5_iter55,delfino,delfino di sousa,11,0.7142857142857143
1279,gpt3.5_iter55,delfino,delfino di ganges,12,0.6857142857142857
1280,gpt3.5_iter55,delfino,delfino di fiume,13,0.6571428571428571
1281,gpt3.5_iter55,delfino,delfino di amazzonia,14,0.6285714285714286
1282,gpt3.5_iter55,delfino,delfino di la plata,15,0.6
1283,gpt3.5_iter55,delfino,delfino di yangtze,16,0.5714285714285714
1284,gpt3.5_iter55,delfino,delfino di baiji,17,0.5428571428571429
1286,gpt3.5_iter55,delfino,delfino di maui,19,0.48571428571428577
1287,gpt3.5_iter55,delfino,delfino di māui,20,0.4571428571428572
1302,gpt3.5_iter55,delfino,,35,0.02857142857142858
1303,gpt3.5_iter56,divano,divano a due posti,1,1.0
1304,gpt3.5_iter56,divano,divano a tre posti,2,0.9166666666666666
1305,gpt3.5_iter56,divano,divano angolare,3,0.8333333333333334
1306,gpt3.5_iter56,divano,divano letto,4,0.75
1307,gpt3.5_iter56,divano,divano in pelle,5,0.6666666666666667
1308,gpt3.5_iter56,divano,divano in tessuto,6,0.5833333333333333
1309,gpt3.5_iter56,divano,divano modulare,7,0.5
1310,gpt3.5_iter56,divano,divano reclinabile,8,0.41666666666666663
1311,gpt3.5_iter56,divano,divano ad angolo,9,0.33333333333333337
1312,gpt3.5_iter56,divano,divano ad isola,10,0.25
1313,gpt3.5_iter56,divano,divano ad l,11,0.16666666666666663
1314,gpt3.5_iter56,divano,divano ad u,12,0.08333333333333337
1315,gpt3.5_iter57,edera,edera rampicante,1,1.0
1316,gpt3.5_iter57,edera,edera selvatica,2,0.9090909090909091
1317,gpt3.5_iter57,edera,edera comune,3,0.8181818181818181
1318,gpt3.5_iter57,edera,edera americana,4,0.7272727272727273
1319,gpt3.5_iter57,edera,edera alpina,5,0.6363636363636364
1320,gpt3.5_iter57,edera,edera a foglia di quercia,6,0.5454545454545454
1321,gpt3.5_iter57,edera,edera a foglia di vite,7,0.4545454545454546
1322,gpt3.5_iter57,edera,edera a foglia di agrifoglio,8,0.36363636363636365
1323,gpt3.5_iter57,edera,edera a foglia di parthenocissus,9,0.2727272727272727
1324,gpt3.5_iter57,edera,edera a foglia di felce,10,0.18181818181818177
1325,gpt3.5_iter57,edera,edera a foglia di edera,11,0.09090909090909094
1326,gpt3.5_iter58,elefante,africano,1,1.0
1327,gpt3.5_iter58,elefante,asiatico,2,0.8333333333333334
1328,gpt3.5_iter58,elefante,pigmeo,3,0.6666666666666667
1329,gpt3.5_iter58,elefante,indiano,4,0.5
1330,gpt3.5_iter58,elefante,africano della foresta,5,0.33333333333333337
1331,gpt3.5_iter58,elefante,africano della savana,6,0.16666666666666663
1332,gpt3.5_iter59,elicottero,elicottero da trasporto,1,1.0
1333,gpt3.5_iter59,elicottero,elicottero da soccorso,2,0.9583333333333334
1334,gpt3.5_iter59,elicottero,elicottero militare,3,0.9166666666666666
1335,gpt3.5_iter59,elicottero,elicottero da turismo,4,0.875
1336,gpt3.5_iter59,elicottero,elicottero da lavoro,5,0.8333333333333334
1337,gpt3.5_iter59,elicottero,elicottero da pattugliamento,6,0.7916666666666666
1338,gpt3.5_iter59,elicottero,elicottero da addestramento,7,0.75
1339,gpt3.5_iter59,elicottero,elicottero da combattimento,8,0.7083333333333333
1340,gpt3.5_iter59,elicottero,elicottero da ricognizione,9,0.6666666666666667
1341,gpt3.5_iter59,elicottero,elicottero da trasporto vip,10,0.625
1342,gpt3.5_iter59,elicottero,elicottero da agricoltura,11,0.5833333333333333
1343,gpt3.5_iter59,elicottero,elicottero da spargimento pesticidi,12,0.5416666666666667
1344,gpt3.5_iter59,elicottero,elicottero da fotografia aerea,13,0.5
1345,gpt3.5_iter59,elicottero,elicottero da riprese cinematografiche,14,0.45833333333333337
1346,gpt3.5_iter59,elicottero,elicottero da ricerca e salvataggio,15,0.41666666666666663
