category,concept,human,llama-3.1-70b,llama-3.1-8b,llama-3.2-3b,mixtral-8x7b,mistral-7b,nemo-12b,llava-v1.6-mistral-7b,llava-v1.6-mistral-7b-img,idefics2-8b,idefics2-8b-img
animals,tigre,tigre bianca,tigre del bengala,tigre di sumatra,tigre del bengala,tigre del bengala,tigre indiana,tigre siberiana,tigre africana,tigris,tigre africana,tigre bengalese
animals,topo,topo di campagna,topo comune,topo domestico,formica,topo da laboratorio,topo domestico,topo campagnolo,topolino,topo domestico,topo domestico,ratto
vehicles,traghetto,traghetto a vapore,traghetto a catena,traghetto da carico,traghetto a motore,traghetto passeggeri,traghetto a vela,traghetto passeggeri,traghetto a vapore,passeggero,traghetto a vapore,traghetto a vapore
vehicles,tram,tram elettrico,tram storico,tram a cavalli,autobus,tram a pianale ribassato,tramway,tram a cavalli,tram aereo,tramway,azienda,tranvia
vehicles,trattore,trattore standard,trattore agricolo,trattore agricolo,trattore agricolo,trattore agricolo,trattore a ruote,trattore a ruote,trattore agricolo,trattore agricolo,trattore agricolo,trattore a motore
vehicles,treno,treno regionale,locomotiva,treno a vapore,treno a vapore,treno a vapore,locomotiva,locomotiva,locomotiva,locomotiva,treno passeggeri,treno passeggeri
plants,tulipano,tulipano rosso,tulipano darwin,tulipano gigante,tulipano bianco,tulipa clusiana,tulipano rosso,tulipano nero,tulipano rosso,fiore di tulipano,tulipano rosso,
plants,ulivo,frantoio,ulivo da olio,ulivo domestico,frutto,ulmus minor,albero di ulivo,ulivo selvatico,olivo,pianta,olio extra vergine,albero
foods,uovo,uovo di gallina,uovo di gallina,uovo di quaglia,uovo di gallina,uovo di gallina,uovo di gallina,uovo di gallina,uovo di pollo,uovo di pollo,uovo di gallina,uovo di gallina
furnishings/fittings,vaso,vaso di ceramica,vaso di fiori,vaso da fiori,vaso da notte,vaso da fiori,vaso da birra,vaso da fiori,tazza,vase,bicchiere,vase
foods,verdura,zucchina,spinaci,spinaci,carote,lattuga,carota,broccoli,broccoli,broccoli,carota,cipolla
hobbies,videogioco,videogioco di sport,avventura,fortnite,action,azione,adventure game,sparatutto,console,joystick,action,console
furnishings/fittings,vite,vite a testa tonda,vite a testa svasata,vite da parete,vite da tavola,vite a testa esagonale,vite di trasmissione,vite a testa esagonale,vite di legno,vite di plastica,uva,vite a spirale
